timestamp,PIR,FOTORES,OCCUPIED?
2020-11-05 10:40:54.430178,0,1,0
2020-11-05 10:40:55.431557,0,1,0
2020-11-05 10:40:56.432909,0,1,0
2020-11-05 10:40:57.434230,0,1,0
2020-11-05 10:40:58.435564,0,1,0
2020-11-05 10:40:59.436887,0,1,0
2020-11-05 10:41:00.438240,0,1,0
2020-11-05 10:41:01.439575,0,1,0
2020-11-05 10:41:02.440911,0,1,0
2020-11-05 10:41:03.442241,0,1,0
2020-11-05 10:41:04.443600,0,1,0
2020-11-05 10:41:05.444931,0,1,0
2020-11-05 10:41:06.446297,0,1,0
2020-11-05 10:41:07.447626,0,1,0
2020-11-05 10:41:08.448958,0,1,0
2020-11-05 10:41:09.450288,0,1,0
2020-11-05 10:41:10.451638,0,1,0
2020-11-05 10:41:11.453008,0,1,0
2020-11-05 10:41:12.454332,0,1,0
2020-11-05 10:41:13.455656,0,1,0
2020-11-05 10:41:14.457007,0,1,0
2020-11-05 10:41:15.458355,0,1,0
2020-11-05 10:41:16.459700,0,1,0
2020-11-05 10:41:17.461037,0,1,0
2020-11-05 10:41:18.462418,0,1,0
2020-11-05 10:41:19.463774,0,1,0
2020-11-05 10:41:20.465114,0,1,0
2020-11-05 10:41:21.466455,0,1,0
2020-11-05 10:41:22.467789,0,1,0
2020-11-05 10:41:23.469122,0,1,0
2020-11-05 10:41:24.470446,0,1,0
2020-11-05 10:41:25.471765,0,1,0
2020-11-05 10:41:26.473060,0,1,0
2020-11-05 10:41:27.474384,0,1,0
2020-11-05 10:41:28.475708,0,1,0
2020-11-05 10:41:29.477037,0,1,0
2020-11-05 10:41:30.478378,0,1,0
2020-11-05 10:41:31.479717,0,1,0
2020-11-05 10:41:32.481047,0,1,0
2020-11-05 10:41:33.482378,0,1,0
2020-11-05 10:41:34.483706,0,1,0
2020-11-05 10:41:35.485034,0,1,0
2020-11-05 10:41:36.486357,0,1,0
2020-11-05 10:41:37.487686,0,1,0
2020-11-05 10:41:38.489012,0,1,0
2020-11-05 10:41:39.490381,0,1,0
2020-11-05 10:41:40.491723,0,1,0
2020-11-05 10:41:41.493065,0,1,0
2020-11-05 10:41:42.494394,0,1,0
2020-11-05 10:41:43.495727,0,1,0
2020-11-05 10:41:44.497057,0,1,0
2020-11-05 10:41:45.498386,0,1,0
2020-11-05 10:41:46.499718,0,1,0
2020-11-05 10:41:47.501075,0,1,0
2020-11-05 10:41:48.502456,0,1,0
2020-11-05 10:41:49.503826,0,1,0
2020-11-05 10:41:50.505159,0,1,0
2020-11-05 10:41:51.506491,0,1,0
2020-11-05 10:41:52.507813,0,1,0
2020-11-05 10:41:53.509172,0,1,0
2020-11-05 10:41:54.510496,0,1,0
2020-11-05 10:41:55.511823,0,1,0
2020-11-05 10:41:56.513146,0,1,0
2020-11-05 10:41:57.514477,0,1,0
2020-11-05 10:41:58.515815,0,1,0
2020-11-05 10:41:59.517136,0,1,0
2020-11-05 10:42:00.518494,0,1,0
2020-11-05 10:42:01.519833,0,1,0
2020-11-05 10:42:02.521171,0,1,0
2020-11-05 10:42:03.522511,0,1,0
2020-11-05 10:42:04.523844,0,1,0
2020-11-05 10:42:05.525214,0,1,0
2020-11-05 10:42:06.526549,0,1,0
2020-11-05 10:42:07.527887,0,1,0
